Saison;Competition;Journee;Lien
2020/2021;Top 14;10;https://www.espn.com/rugby/match?gameId=593293&league=270559
2020/2021;Top 14;10;https://www.espn.com/rugby/match?gameId=593294&league=270559
2020/2021;Top 14;10;https://www.espn.com/rugby/match?gameId=593295&league=270559
2020/2021;Top 14;10;https://www.espn.com/rugby/match?gameId=593296&league=270559
2020/2021;Top 14;10;https://www.espn.com/rugby/match?gameId=593297&league=270559
2020/2021;Top 14;10;https://www.espn.com/rugby/match?gameId=593298&league=270559
2020/2021;Top 14;10;https://www.espn.com/rugby/match?gameId=593299&league=270559
2020/2021;Top 14;11;https://www.espn.com/rugby/match?gameId=593300&league=270559
2020/2021;Top 14;11;https://www.espn.com/rugby/match?gameId=593301&league=270559
2020/2021;Top 14;11;https://www.espn.com/rugby/match?gameId=593302&league=270559
2020/2021;Top 14;11;https://www.espn.com/rugby/match?gameId=593303&league=270559
2020/2021;Top 14;11;https://www.espn.com/rugby/match?gameId=593304&league=270559
2020/2021;Top 14;11;https://www.espn.com/rugby/match?gameId=593305&league=270559
2020/2021;Top 14;11;https://www.espn.com/rugby/match?gameId=593306&league=270559
2020/2021;Top 14;12;https://www.espn.com/rugby/match?gameId=593307&league=270559
2020/2021;Top 14;12;https://www.espn.com/rugby/match?gameId=593308&league=270559
2020/2021;Top 14;12;https://www.espn.com/rugby/match?gameId=593309&league=270559
2020/2021;Top 14;12;https://www.espn.com/rugby/match?gameId=593310&league=270559
2020/2021;Top 14;12;https://www.espn.com/rugby/match?gameId=593311&league=270559
2020/2021;Top 14;12;https://www.espn.com/rugby/match?gameId=593312&league=270559
2020/2021;Top 14;12;https://www.espn.com/rugby/match?gameId=593313&league=270559
2020/2021;Top 14;13;https://www.espn.com/rugby/match?gameId=593314&league=270559
2020/2021;Top 14;13;https://www.espn.com/rugby/match?gameId=593315&league=270559
2020/2021;Top 14;13;https://www.espn.com/rugby/match?gameId=593316&league=270559
2020/2021;Top 14;13;https://www.espn.com/rugby/match?gameId=593317&league=270559
2020/2021;Top 14;13;https://www.espn.com/rugby/match?gameId=593318&league=270559
2020/2021;Top 14;13;https://www.espn.com/rugby/match?gameId=593319&league=270559
2020/2021;Top 14;13;https://www.espn.com/rugby/match?gameId=593320&league=270559
2020/2021;Top 14;14;https://www.espn.com/rugby/match?gameId=593321&league=270559
2020/2021;Top 14;14;https://www.espn.com/rugby/match?gameId=593322&league=270559
2020/2021;Top 14;14;https://www.espn.com/rugby/match?gameId=593323&league=270559
2020/2021;Top 14;14;https://www.espn.com/rugby/match?gameId=593324&league=270559
2020/2021;Top 14;14;https://www.espn.com/rugby/match?gameId=593325&league=270559
2020/2021;Top 14;14;https://www.espn.com/rugby/match?gameId=593326&league=270559
2020/2021;Top 14;14;https://www.espn.com/rugby/match?gameId=593327&league=270559
2020/2021;Top 14;15;https://www.espn.com/rugby/match?gameId=593328&league=270559
2020/2021;Top 14;15;https://www.espn.com/rugby/match?gameId=593329&league=270559
2020/2021;Top 14;15;https://www.espn.com/rugby/match?gameId=593330&league=270559
2020/2021;Top 14;15;https://www.espn.com/rugby/match?gameId=593331&league=270559
2020/2021;Top 14;15;https://www.espn.com/rugby/match?gameId=593332&league=270559
2020/2021;Top 14;15;https://www.espn.com/rugby/match?gameId=593333&league=270559
2020/2021;Top 14;15;https://www.espn.com/rugby/match?gameId=593334&league=270559
2020/2021;Top 14;16;https://www.espn.com/rugby/match?gameId=593335&league=270559
2020/2021;Top 14;16;https://www.espn.com/rugby/match?gameId=593336&league=270559
2020/2021;Top 14;16;https://www.espn.com/rugby/match?gameId=593337&league=270559
2020/2021;Top 14;16;https://www.espn.com/rugby/match?gameId=593338&league=270559
